PARCEL,WATERID,LATERAL,SIDEGATE,SERVAREA,ISPEC,IRRIGTYPE,NAME1,PHONE1,RQSTFLO,HOURS,CROP1,EVENT_TRANDATE,TRANTIME,COMMENT1,COMMENT2,EXCESSIVEORDER,LASTIRRIGATION,DELETED,FLOWID
 018044006,676770,CERES,10-07,01,WRQST,01,GEORGE,502-2808,14.8,2,29,2023-06-02,7110374,HM,,N,N,,
 017062052,676809,LL2.5,21-01,05,WRQST,01,JOHN,496-2930,22.68,7,29,2023-06-02,8093204,MARIA,,,N,,
 018013014,676821,CERES,11-03,01,WRQST,01,CHARLIE,208-3669,13.41,6,36,2023-06-02,8262211,,6560216,,N,,
 018013038,676822,CERES,11-03,01,WRQST,01,CHARLIE,621-8135,13.2,9,36,2023-06-02,8264638,,6560216,,N,,
 018013029,676823,CERES,11-03,01,WRQST,01,CHARLIE,956-4937,13.27,8,36,2023-06-02,8272002,,6560216,,N,,
 017038003,676789,L1,13-01,03,WRQST,01,FRANCISCO,490-2191,19.55,3.5,29,2023-06-02,7331660,HECTOR,,N,N,,
 018013019,676824,CERES,11-03,01,WRQST,01,CHARLIE,738-9482,14.4,4,36,2023-06-02,8274820,,6560216,,N,,
 018009006,676884,CERES,04-02,01,WRQST,01,EVAN,209-3308,15.93,6,29,2023-06-02,9420362,BEN,,,N,,
 018009007,676885,CERES,04-02,01,WRQST,01,EVAN,266-5219,15.88,6,29,2023-06-02,9423883,BEN,,,N,,
 018006006,676886,CERES,04-04,01,WRQST,01,EVAN,774-7118,21.11,12,29,2023-06-02,9444163,BEN,,,N,,
 018058014,676897,CERES,02-05,01,WRQST,01,DARRYL,142-0878,15.03,6,29,2023-06-02,9593614,TROY,,N,N,,
 018012018,676903,CERES,02-05,01,WRQST,01,NICK,236-2789,15.08,7.5,29,2023-06-02,10123982,,,N,N,,
 022002001,676990,LL3,15-03,05,WRQST,01,ERIC,514-2860,17.95,8,29,2023-06-02,11463614,,,N,N,,
 041031022,677063,LL2,03-11,03,WRQST,01,MANUEL,835-0360,3.03,1,9,2023-06-02,13211701,,,N,N,,
 022003011,677068,LL3,12-03,05,WRQST,01,GREG,940-4532,23.07,3.5,1,2023-06-02,13253518,,,N,N,,
 018052040,677131,CERES,05-03,01,WRQST,01,JASON,214-8572,10,1,9,2023-06-02,14135535,JENNY,,N,N,,
 041044006,677142,LL2.5,09-04,05,WRQST,01,ALLEN,984-0989,22.31,36,1,2023-06-02,14494602,,,N,N,,
 018046001,677154,CERES,10-02,01,WRQST,01,MIKE,890-3634,14.91,8,39,2023-06-02,15055902,HM,,N,N,,
 018044002,677192,CERES,10-07,01,WRQST,01,FRANK,492-8120,14.96,6,29,2023-06-02,16090558,HM,,N,N,,
 018044003,677193,CERES,10-07,01,WRQST,01,FRANK,333-2728,14.97,6,29,2023-06-02,16090984,HM,,N,N,,
 018057013,677194,CERES,02-05,01,WRQST,01,DONNY,143-9423,12.96,4.5,29,2023-06-02,16101515,HM,,,N,,
 041010011,677212,LL2,03-04,03,WRQST,01,JOHN,918-8931,5,1.5,9,2023-06-02,16303079,DIMITRA,,N,N,,
 018055005,677252,CERES,04-02,01,WRQST,01,EDDIE,762-5982,15.71,11.75,36,2023-06-02,18553126,ENRIQUE,,,N,,
 018018020,677259,CERES,08-03,01,WRQST,01,RON,588-9195,10,2,28,2023-06-02,21432602,ALT,,,N,,
 041034002,677336,LL2.5,05-02,05,WRQST,01,HORACIO,595-2240,5,0.25,9,2023-06-03,7210189,,,N,N,,
 017058049,677338,LL2.5,20-08,05,WRQST,01,BOB,903-4089,24.95,4,9,2023-06-03,7283144,,,N,N,,
 056058008,677418,L1,08-02,03,WRQST,01,BRIAN,535-4422,17.2,3,29,2023-06-03,8060167,JODY,,N,N,,
 018030001,677425,CERES,08-02,01,WRQST,01,PAUL,461-9450,15.22,10.5,29,2023-06-03,8144924,JIM,,,N,,
 018030014,677427,CERES,08-02,01,WRQST,01,PAUL,660-6832,14.7,3,29,2023-06-03,8145603,JIM,,,N,,
 018030015,677428,CERES,08-02,01,WRQST,01,PAUL,795-2117,14.85,2.25,29,2023-06-03,8151904,JIM,,,N,,
 018030016,677429,CERES,08-02,01,WRQST,01,PAUL,266-2713,14.7,1.75,29,2023-06-03,8152852,JIM,,,N,,
 018030011,677433,CERES,08-02,01,WRQST,01,PAUL,896-8837,15.67,0.25,29,2023-06-03,8323094,JIM,,N,N,,
 022005015,677444,LL3,11-07,05,WRQST,01,PAUL,489-1888,16.04,40,17,2023-06-03,9152098,,,N,N,,
 018014019,677518,CERES,10-08,01,WRQST,01,SCOTT,889-5652,16.72,4,29,2023-06-03,10303489,OFC,,N,N,,
 018013047,677519,CERES,11-03,01,WRQST,01,SCOTT,450-0684,15.17,1,29,2023-06-03,10330446,OFFC,,Y,N,,
 018013046,677520,CERES,11-03,01,WRQST,01,SCOTT,732-2502,14.89,3,29,2023-06-03,10330996,,5373571,N,N,,
 018045007,677522,CERES,10-02,01,WRQST,01,ROBERT,495-2381,14.91,2,29,2023-06-03,10553351,,,,N,,
 018045008,677523,CERES,10-02,01,WRQST,01,ROBERT,804-6207,14.96,3,29,2023-06-03,10553921,,,,N,,
 041038024,677530,LL2.5,02-01,05,WRQST,01,SHERRIE,367-6531,5,0.75,9,2023-06-03,11225766,KEITH/SHERRIE,,N,N,,
 041025001,677608,LL2.5,14-02,05,WRQST,01,DAVE,131-8245,18.34,10,17,2023-06-03,14060986,DAN,,N,N,,
 018062012,677630,CERES,09-04,01,WRQST,01,ROBERT,722-9616,15.21,10,39,2023-06-03,16010874,OFFC,,N,N,,
 019004015,677637,CERES,02-04,01,WRQST,01,TIM,236-1406,16.02,3,39,2023-06-03,16193973,SCOTT,,,N,,
 019004003,677643,CERES,02-04,01,WRQST,01,TIM,757-8957,10.58,5.5,29,2023-06-03,16200569,SCOTT,,,N,,
 019004003,677648,CERES,02-04,01,WRQST,01,TIM,985-8232,15.22,4.5,29,2023-06-03,16202723,SCOTT,,,N,,
 019004014,677653,CERES,02-04,01,WRQST,01,TIM,804-9510,15.84,6,29,2023-06-03,16204438,SCOTT,,,N,,
 019004004,677654,CERES,02-04,01,WRQST,01,TIM,478-5932,13.26,0.75,29,2023-06-03,16210611,SCOTT,,,N,,
 017060005,677713,LL2,20-02,03,WRQST,01,JEFF,607-5553,19.01,22,29,2023-06-03,19580751,WILLIE,,,N,,
 019004011,677753,CERES,02-04,01,WRQST,01,EVAN,543-1234,16.09,5,29,2023-06-04,6171529,&,,,N,,
 018013018,677754,CERES,11-03,01,WRQST,01,EVAN,566-6327,14.92,7,29,2023-06-04,6175862,BEN,,,N,,
 018013004,677767,CERES,11-03,01,WRQST,01,ALLEN,435-3444,13,2.5,29,2023-06-04,6234397,BRUCE,,,N,,
 041027017,677773,LL2.5,11-03,05,WRQST,01,STACY,563-9807,25.31,1,29,2023-06-04,6543613,BUD,,,N,,
